,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,780.5151309,771.9380416,771.9380416,754.7838629,754.7838629,754.7838629,754.7838629,754.7838629,754.7838629,669.0129694,746.2067735,754.7838629,754.7838629,754.7838629,780.5151309,763.3609522,771.9380416
3,729.0525948,720.4755055,711.8984161,694.7442374,703.3213268,694.7442374,694.7442374,694.7442374,694.7442374,660.43588,626.1275226,694.7442374,694.7442374,694.7442374,720.4755055,694.7442374,694.7442374
6,823.4005777,806.246399,806.246399,789.0922203,797.6693096,789.0922203,789.0922203,789.0922203,789.0922203,797.6693096,686.1671481,771.9380416,797.6693096,797.6693096,823.4005777,806.246399,806.246399
8,789.0922203,780.5151309,763.3609522,763.3609522,763.3609522,754.7838629,754.7838629,754.7838629,746.2067735,754.7838629,686.1671481,686.1671481,754.7838629,763.3609522,789.0922203,780.5151309,763.3609522
10,823.4005777,823.4005777,814.8234883,806.246399,806.246399,806.246399,806.246399,806.246399,797.6693096,806.246399,737.6296842,703.3213268,806.246399,806.246399,840.5547564,823.4005777,823.4005777
11,840.5547564,823.4005777,823.4005777,797.6693096,806.246399,814.8234883,806.246399,823.4005777,814.8234883,806.246399,737.6296842,711.8984161,823.4005777,814.8234883,823.4005777,823.4005777,823.4005777
13,780.5151309,789.0922203,780.5151309,780.5151309,780.5151309,780.5151309,771.9380416,763.3609522,763.3609522,720.4755055,634.704612,660.43588,737.6296842,771.9380416,780.5151309,754.7838629,763.3609522
15,823.4005777,806.246399,806.246399,797.6693096,780.5151309,754.7838629,703.3213268,643.2817013,617.5504333,634.704612,677.5900587,720.4755055,780.5151309,806.246399,814.8234883,806.246399,789.0922203
16,857.7089351,840.5547564,849.1318458,840.5547564,831.977667,814.8234883,789.0922203,746.2067735,703.3213268,686.1671481,694.7442374,720.4755055,789.0922203,814.8234883,857.7089351,849.1318458,849.1318458
17,831.977667,814.8234883,806.246399,771.9380416,737.6296842,677.5900587,634.704612,600.3962546,591.8191652,626.1275226,669.0129694,737.6296842,780.5151309,797.6693096,806.246399,814.8234883,814.8234883
20,814.8234883,797.6693096,771.9380416,720.4755055,660.43588,591.8191652,540.3566291,514.6253611,506.0482717,540.3566291,583.2420759,626.1275226,686.1671481,729.0525948,737.6296842,771.9380416,763.3609522
