,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,9.371300263,9.354661808,9.354661808,9.321849801,9.321849801,9.321849801,9.321849801,9.321849801,9.321849801,9.167299552,9.305677889,9.321849801,9.321849801,9.321849801,9.371300263,9.338178047,9.354661808
3,9.273806327,9.258108304,9.242569865,9.211974964,9.227191818,9.211974964,9.211974964,9.211974964,9.211974964,9.152735442,9.0961384,9.211974964,9.211974964,9.211974964,9.258108304,9.211974964,9.211974964
6,9.456784104,9.422135558,9.422135558,9.388092589,9.405037963,9.388092589,9.388092589,9.388092589,9.388092589,9.405037963,9.196920104,9.354661808,9.405037963,9.405037963,9.456784104,9.422135558,9.422135558
8,9.388092589,9.371300263,9.338178047,9.338178047,9.338178047,9.321849801,9.321849801,9.321849801,9.305677889,9.321849801,9.196920104,9.196920104,9.321849801,9.338178047,9.388092589,9.371300263,9.338178047
10,9.456784104,9.456784104,9.439384548,9.422135558,9.422135558,9.422135558,9.422135558,9.422135558,9.405037963,9.422135558,9.289663126,9.227191818,9.422135558,9.422135558,9.492031595,9.456784104,9.456784104
11,9.492031595,9.456784104,9.456784104,9.405037963,9.422135558,9.439384548,9.422135558,9.456784104,9.439384548,9.422135558,9.289663126,9.242569865,9.456784104,9.439384548,9.456784104,9.456784104,9.456784104
13,9.371300263,9.388092589,9.371300263,9.371300263,9.371300263,9.371300263,9.354661808,9.338178047,9.338178047,9.258108304,9.110037195,9.152735442,9.289663126,9.354661808,9.371300263,9.321849801,9.338178047
15,9.456784104,9.422135558,9.422135558,9.405037963,9.371300263,9.321849801,9.227191818,9.124103483,9.082407866,9.110037195,9.182028036,9.258108304,9.371300263,9.422135558,9.439384548,9.422135558,9.388092589
16,9.527871383,9.492031595,9.509877868,9.492031595,9.474333396,9.439384548,9.388092589,9.305677889,9.227191818,9.196920104,9.211974964,9.258108304,9.388092589,9.439384548,9.527871383,9.509877868,9.509877868
17,9.474333396,9.439384548,9.422135558,9.354661808,9.289663126,9.182028036,9.110037195,9.055454638,9.042233457,9.0961384,9.167299552,9.289663126,9.371300263,9.405037963,9.422135558,9.439384548,9.439384548
20,9.439384548,9.405037963,9.354661808,9.258108304,9.152735442,9.042233457,8.966529277,8.931038877,8.91956335,8.966529277,9.029183565,9.0961384,9.196920104,9.273806327,9.289663126,9.354661808,9.338178047
