,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,564.6504034,551.8588113,548.8511919,540.2151743,539.0769135,539.2506938,538.5307983,537.1960653,536.2631094,468.6655295,525.2312939,538.8728294,535.7593621,538.1410853,573.1727457,524.3422857,546.8636339
3,568.0959203,572.0912149,563.5958013,547.4350263,553.6473119,547.9820033,551.5747308,558.9960818,553.028094,519.8690236,494.9465635,543.5830646,546.5924793,553.4641245,588.0190381,562.1941414,553.8688458
6,581.0909503,562.7154104,562.7213706,561.5421781,551.147892,551.2806688,544.9928391,550.3025444,546.0912453,544.0442286,469.7399511,541.9487402,565.6662281,547.6314268,585.1981248,564.2443177,556.1428539
8,584.6249372,578.420838,580.5645109,560.402912,565.7954861,564.2634192,552.3401539,552.9939124,561.3323492,559.6266456,493.9805032,503.5123509,555.1859853,577.2874603,594.6415025,568.968843,570.8787744
10,579.4291944,580.146433,575.3047136,556.9402325,561.449615,566.3998393,559.086706,561.6313662,562.615379,556.3223072,505.5054382,476.2853633,552.495479,566.8709849,583.4225501,566.6863613,569.7441759
11,593.9667755,568.7732325,582.4268322,569.1917414,557.5058083,571.8549599,572.3493719,572.2113531,561.5693223,564.7781534,510.0160415,470.9200053,560.8439692,552.257716,611.6065498,569.7440323,560.9938368
13,593.3211316,588.0537224,575.7701862,571.3239965,569.7106406,565.5203101,563.6550446,564.5184166,560.3191816,525.5660004,460.7298751,475.5240334,549.3267179,572.0750576,601.1408846,584.2149019,565.5860881
15,596.7247833,588.7171752,580.835881,574.906168,561.0436011,538.2987083,495.4634521,454.4971955,443.6040451,445.9370811,475.3777564,522.004223,567.7930256,576.9977069,613.9078458,578.6468241,579.9096035
16,606.927552,591.0940872,591.6205265,580.5577608,574.7131426,561.6074535,541.3800766,505.4721902,466.4572993,439.9294542,468.9812063,495.8027545,536.2302922,574.6659634,613.025516,588.8151959,580.1008336
17,607.781086,588.7889134,588.0970956,565.3783416,536.7693701,467.3412807,454.1789335,403.3377927,411.8210703,431.2545874,484.8199852,512.8578516,553.0767812,573.5516872,618.6656192,591.7147412,586.8756789
20,613.253082,601.2883105,584.0961999,529.1727309,491.4994667,429.9491529,401.2917814,360.5984747,361.1736012,400.4192895,433.5374281,476.9873782,529.0062034,572.8122594,623.0570897,600.0556196,598.5660642
