# AoA, cL Uncertainty, cDp Uncertainty, cM Uncertainty
0.000000000000000000e+00,3.519662852720169266e-02,2.272638888893099285e-01,-5.693351117137354875e-06
3.000000000000000000e+00,6.930583616062005459e-02,2.278808707851649462e-01,-8.244421291189145469e-06
6.000000000000000000e+00,9.365440167143418426e-02,2.005787571337559749e-01,-4.839962240472860870e-06
8.000000000000000000e+00,2.287117005071177822e-01,1.745585442094059079e-03,-5.435974031411550918e-06
1.000000000000000000e+01,9.010968771305634395e-02,2.009318134525192312e-01,-3.292713134249877514e-06
1.100000000000000000e+01,2.189436362163399985e-01,3.291650042322565722e-02,-1.406345709071542192e-06
1.300000000000000000e+01,6.218482132449702771e-02,2.162711042676860596e-01,-3.196873690132112050e-06
1.500000000000000000e+01,1.689004408930971091e-01,1.449348629247586284e-01,-3.583908782464692430e-06
1.600000000000000000e+01,2.943754525818375115e-02,2.113597620236602470e-01,1.324449632688669358e-07
1.700000000000000000e+01,1.967819926031191269e-01,9.082299846745529870e-02,-3.748742622311645469e-06
2.000000000000000000e+01,1.899860109890995075e-01,1.228507057426395238e-01,-4.362575587052352584e-06
