,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,536.2564311,-50.09190813,-247.5058615,-306.9341172,-393.6391967,-433.8739245,-383.6823772,-343.5912695,-310.8070475,-249.8651799,-103.175317,30.32261286,32.94446879,-5.930823399,-31.37570148,-66.86120131,-102.2018603,-156.3876968,-220.0794575
3,445.9477808,-409.0784245,-555.2209514,-564.0418798,-566.4841388,-580.7530786,-487.7193096,-431.6603086,-377.1767477,-221.2366761,-104.008816,43.22098647,57.48942361,44.55392421,51.74735015,39.45088819,27.02947679,30.13210086,57.94936684
6,-107.728001,-851.3704618,-887.5556067,-821.4097383,-794.6220845,-750.866511,-633.3817864,-540.9436098,-393.7913621,-254.1933858,-118.7534973,35.34464717,71.72554623,92.74204351,112.0438609,115.2565698,131.9847158,182.6065488,259.9483905
8,-765.9868305,-1207.649309,-1174.925408,-1021.80984,-937.632617,-869.7979921,-741.580828,-532.7295479,-413.8299504,-259.9150652,-103.3091709,40.92672789,69.22806527,123.8248705,164.3018854,176.3169956,198.4828124,286.8227908,393.5330669
10,-1451.648079,-1517.945252,-1375.91428,-1189.491426,-1087.487794,-1007.764588,-706.8252772,-597.2736219,-430.2487389,-257.6632463,-91.27596454,17.94924236,77.09923425,136.2999958,182.1929948,212.0893765,248.219874,351.9444328,454.8252237
11,-1767.306795,-1628.683568,-1461.128798,-1266.932509,-1127.785428,-982.8556284,-737.4354506,-608.8140679,-411.0973634,-220.2732009,-69.96246098,2.766017283,75.18915931,146.8040795,204.1787838,230.891827,278.1642248,376.4044363,482.3783006
13,-2355.087528,-1822.231125,-1643.456326,-1344.724456,-1146.739469,-1020.902161,-745.4709209,-579.1334753,-363.3471417,-167.7629797,-79.9162644,-88.10878325,65.4064792,163.3036542,219.6722282,261.8815882,305.2169295,419.2282029,519.8833138
15,-2629.668681,-1861.317324,-1624.465949,-1286.818142,-1097.229758,-919.97568,-574.4213012,-332.0327992,-211.8553422,-200.6431399,-199.7923347,-160.9764294,10.10076535,154.2403669,227.7583246,258.4558908,333.6583682,434.9813124,538.5855893
16,-2696.550172,-1859.622894,-1603.650807,-1271.228759,-1076.164645,-902.7918276,-548.4724604,-327.7404984,-212.1873918,-222.5359349,-214.5285423,-172.7584443,0.998844304,157.985978,231.0907408,278.1752836,328.8569343,445.5191467,549.5280014
17,-2592.545267,-1772.975837,-1476.542964,-1142.36193,-904.5798973,-656.548276,-331.5684755,-266.3564247,-258.6055375,-274.6622598,-288.7066496,-203.9909952,-16.28058731,141.137981,224.6068698,273.9321727,330.2422934,447.8493822,546.0348026
20,-2464.913139,-1508.634291,-1124.187601,-769.6098618,-436.770382,-308.7184528,-287.8335115,-285.1114806,-305.44449,-315.6497003,-332.4818991,-264.9359505,-54.34320541,136.8269378,233.8983693,287.4391362,345.4877777,455.4911899,567.2382932
