# AoA, cL Uncertainty, cDp Uncertainty, cM Uncertainty
0.000000000000000000e+00,3.897051267651255313e-02,2.701992725568171383e-01,-1.323347281832750474e-06
3.000000000000000000e+00,7.594702979474039772e-02,2.593863112412546079e-01,-1.228831968432249126e-05
6.000000000000000000e+00,1.112311041066148531e-01,2.448391475460265088e-01,-8.870235592236100001e-06
8.000000000000000000e+00,2.646034613309514727e-01,7.349019032877213576e-04,-6.366890071562075881e-06
1.000000000000000000e+01,1.098259455039305860e-01,2.382233036235142098e-01,-8.273865430380250723e-06
1.100000000000000000e+01,2.627303693796479434e-01,3.670707374882639651e-02,-5.106309571573081126e-06
1.300000000000000000e+01,7.663224512752962736e-02,2.564359310358301780e-01,-3.566770781073346366e-06
1.500000000000000000e+01,1.942334349204246358e-01,1.702157634060335878e-01,-6.618897089298259132e-06
1.600000000000000000e+01,3.825729555029055290e-02,2.552121076734607530e-01,-7.973978551294412588e-06
1.700000000000000000e+01,2.342769773549630008e-01,1.051843281332405233e-01,-1.124562195126007222e-05
2.000000000000000000e+01,2.127387160431471747e-01,1.344437394706405886e-01,-5.389950675269066759e-06
